Individuals,Average Coverage,Subgenome
DIE_3 ,26.3259,C. excelsa
SVA_1 ,3.268573333,C. excelsa
DAR_1 ,39.69966667,C. excelsa
NEN_003 ,9.349526667,C. excelsa
JON_001 ,5.470081667,C. excelsa
LWA_10 ,29.7949,C. excelsa
BRE_3 ,14.31683333,C. excelsa
FOR_1 ,43.12883333,C. excelsa
RYE_1 ,35.89235,C. excelsa
CUM_1 ,38.4677,C. excelsa
SCO_1 ,36.81528333,C. excelsa
ERS_1,24.34465,C. excelsa
FDE_3,44.7027,C. excelsa
FRE_013,8.117526667,C. excelsa
OSW,34.0694,C. excelsa
TAT_5,23.60708333,C. excelsa
ULR_4,19.39983333,C. excelsa
DIE_3 ,4.133141429,C. groenlandica
SVA_1 ,5.338667143,C. groenlandica
DAR_1 ,28.65358571,C. groenlandica
NEN_003 ,8.727751429,C. groenlandica
JON_001 ,4.171352857,C. groenlandica
LWA_10 ,21.80325714,C. groenlandica
BRE_3 ,11.67331429,C. groenlandica
FOR_1 ,30.20685714,C. groenlandica
RYE_1 ,24.96771429,C. groenlandica
CUM_1 ,25.97978571,C. groenlandica
SCO_1 ,25.30775714,C. groenlandica
ERS_1,17.1516,C. groenlandica
FDE_3,36.58501429,C. groenlandica
FRE_013,6.46845,C. groenlandica
OSW,24.67642857,C. groenlandica
TAT_5,17.3427,C. groenlandica
ULR_4,11.76477143,C. groenlandica
