Individuals,Log10 Depth Ratio,,,,,,
DAR_1,0.141607883,,,,,,
NEN_003,0.029887256,,,,,,
DIE_3,0.804102961,,,,,,
SVA_1,-0.213074611,,,,,,
JON_001,0.117716882,,,,,,
LWA_10,0.135620555,,,,,,
BRE_3,0.088652791,,,,,,
FOR_1,0.154662169,,,,,,
RYE_1,0.157623108,,,,,,
CUM_1,0.170460656,,,,,,
SCO_1,0.162774489,,,,,,
ERS_1,0.152098895,,,1.216149059,0.135127673,0.031062496,22.98751637
FDE_3,0.087030526,,,,,,#DIV/0!
FRE_013,0.098623499,,,,,,#DIV/0!
OSW,0.140082181,,,2.579009367,0.151706433,0.19223677,126.7162939
TAT_5,0.133925622,,,,,,
ULR_4,0.217214505,,,,,,
